Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A08.186.211.730.885.287.500.Cerebral.Cortex	1.81495144313e-08	6.72738654042e-09	0.00348938996123
A08.186.211.730.885.287.500.571.735.Visual.Cortex	1.77357994047e-08	6.59315223545e-09	0.00357224392102
A08.186.211.730.885.287.500.270.Frontal.Lobe	1.49937613592e-08	6.28507528286e-09	0.00852532665515
A08.186.211.464.405.Hippocampus	1.53137169835e-08	6.43538240777e-09	0.00866542392154
A08.186.211.464.Limbic.System	1.4615662844e-08	6.68215149935e-09	0.014361446101
Brain_Cerebellar_Hemisphere	1.4355621116e-08	6.89129506376e-09	0.0186186455776
Brain_Cerebellum	1.53482909562e-08	7.48531312018e-09	0.0201600693963
A08.186.211.865.428.Metencephalon	1.47411353987e-08	7.38919134707e-09	0.0230236639298
A08.186.211.464.710.225.Entorhinal.Cortex	1.30774574724e-08	6.8874393125e-09	0.0287993256694
A08.186.211.730.885.287.500.670.Parietal.Lobe	1.24475965961e-08	6.77751528267e-09	0.0331343525749
A11.382.Endocrine.Cells	1.26325599831e-08	7.52634816098e-09	0.0466301483657
A08.186.211.132.810.428.200.Cerebellum	1.13626745646e-08	7.47707746463e-09	0.0642972323219
A15.145.229.637.555.567.569.200.CD4.Positive.T.Lymphocytes	1.27408078766e-08	8.56165895211e-09	0.0683591328792
Brain_Hypothalamus	9.71643993434e-09	6.60887226216e-09	0.0707522419067
A08.186.211.730.317.357.Hypothalamus	1.37596978413e-08	9.40417832e-09	0.0717135427635
A08.186.211.730.885.287.249.Basal.Ganglia	9.70294811002e-09	6.63529608764e-09	0.0718263174645
A15.382.490.555.567.Lymphocytes	1.21978862606e-08	8.39908713907e-09	0.0732108905203
A03.556.500.760.464.Parotid.Gland	1.21998653082e-08	8.69253727083e-09	0.0802357943431
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	1.19433466514e-08	9.05642791211e-09	0.0936229858722
A08.186.211.Brain	8.98776375029e-09	6.92986275128e-09	0.0973222527176
A03.556.500.760.Salivary.Glands	1.11899358007e-08	8.64467788066e-09	0.0977583588315
A08.186.211.132.Brain.Stem	8.73338162852e-09	7.06857275947e-09	0.108318029194
A09.371.Eye	9.89506820985e-09	8.43633652386e-09	0.120415836873
Minor_Salivary_Gland	8.75422382584e-09	7.70375796566e-09	0.127903468991
Skin_Not_Sun_Exposed_(Suprapubic)	7.8373959891e-09	7.16386078419e-09	0.13697343962
A15.145.229.637.555.Leukocytes..Mononuclear	9.30789521958e-09	8.58809819557e-09	0.139223789013
Brain_Anterior_cingulate_cortex_(BA24)	6.6515093354e-09	6.36211314977e-09	0.147898873258
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	7.15992883666e-09	6.91778896554e-09	0.15033387309
A15.382.520.604.800.Palatine.Tonsil	8.67667117902e-09	8.71249480975e-09	0.159652223332
Brain_Cortex	5.77631022308e-09	6.59342307084e-09	0.190495575033
Pituitary	6.64073786662e-09	7.71789065616e-09	0.194774841802
Colon_Transverse	5.73219421569e-09	7.15900956817e-09	0.211653672059
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	7.05155865097e-09	8.91142955924e-09	0.21438629288
A15.382.490.555.567.622.Lymphocytes..Null	6.33930668059e-09	8.12239928166e-09	0.217556497998
