#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
SCGB1C2	0	0	0	0	0	0	0	0
DOC2B	0	0	0	0	0	0	0	0
RPH3AL	0	62	0	3	0	77	0	0
C17orf97	1	164	0	18	0	24	0	0
RFLNB	0	29	0	1	0	56	0	0
VPS53	0	112	0	5	0	131	0	0
FAM57A	0	25	0	1	0	25	0	0
GEMIN4	0	0	0	0	0	0	0	0
GLOD4	0	26	0	6	0	63	0	0
MRM3	0	9	0	2	0	47	0	0
NXN	0	92	0	0	0	58	0	0
TIMM22	0	126	0	2	0	119	0	0
ABR	3	400	0	16	0	35	0	0
BHLHA9	0	28	0	2	0	23	0	0
TRARG1	0	6	0	0	0	122	0	0
YWHAE	0	52	0	0	0	10	0	0
CRK	0	118	0	0	0	23	0	0
MYO1C	1	330	0	1	2	413	0	0
INPP5K	0	151	0	2	0	18	0	0
PITPNA	0	103	0	1	0	7	0	0
SLC43A2	0	110	0	2	0	49	0	0
SCARF1	0	149	0	21	0	168	0	0
RILP	0	0	0	0	0	0	0	0
PRPF8	1	285	0	2	0	69	0	0
TLCD2	0	36	0	2	1	140	0	0
WDR81	1	1235	0	2	1	222	0	0
SERPINF2	2	242	0	3	0	45	0	0
SERPINF1	0	93	0	5	0	100	0	0
SMYD4	0	49	0	19	0	143	0	0
RPA1	0	44	0	3	0	49	0	0
RTN4RL1	0	71	0	1	1	117	0	0
DPH1	0	117	0	6	0	122	0	0
OVCA2	0	0	0	0	0	0	0	0
HIC1	0	3	0	0	0	3	0	0
SMG6	0	175	0	2	2	216	0	0
SRR	0	32	0	1	0	67	0	0
TSR1	0	61	0	5	0	209	0	0
SGSM2	0	166	0	8	2	290	0	0
MNT	0	75	0	3	0	45	0	0
METTL16	0	34	0	1	0	16	0	0
PAFAH1B1	0	0	0	0	0	2	0	0
CLUH	3	448	0	5	1	150	0	0
RAP1GAP2	0	99	0	1	0	45	0	0
OR1D5	0	14	0	9	0	18	0	0
OR1D2	0	22	0	5	0	150	0	0
OR1G1	0	47	0	3	0	29	0	0
OR1A2	0	17	0	6	0	23	0	0
OR1A1	0	98	0	3	0	46	0	0
OR3A2	0	133	0	40	1	1159	0	0
OR3A1	0	119	0	37	1	1110	0	0
AC087498.1	0	0	0	0	0	0	0	0
OR1E1	0	21	0	7	0	38	0	0
OR3A3	0	21	0	3	0	13	0	0
OR1E2	0	27	0	11	0	57	0	0
SPATA22	0	22	0	2	0	85	0	0
ASPA	0	10	0	1	0	70	0	0
TRPV3	0	200	0	15	0	210	0	0
TRPV1	1	85	0	6	1	91	0	0
AC027796.3	0	94	0	28	0	222	0	0
SHPK	0	43	0	25	0	184	0	0
CTNS	0	39	0	5	0	100	0	0
TAX1BP3	0	0	0	0	0	0	0	0
P2RX5-TAX1BP3	0	77	0	7	0	205	0	0
EMC6	0	0	0	0	0	0	0	0
P2RX5	0	77	0	7	0	205	0	0
ITGAE	0	199	0	10	0	113	0	0
HASPIN	0	0	0	0	0	0	0	0
NCBP3	0	83	0	0	0	194	0	0
CAMKK1	0	57	0	0	0	55	0	0
P2RX1	0	50	0	2	0	26	0	0
ATP2A3	1	347	0	1	0	236	0	0
ZZEF1	4	562	0	5	8	519	0	0
CYB5D2	1	147	0	5	0	97	0	0
ANKFY1	2	130	0	3	1	202	0	0
UBE2G1	0	4	0	0	0	5	0	0
SPNS3	0	73	0	64	0	185	0	0
SPNS2	0	138	0	0	0	119	0	0
MYBBP1A	4	483	0	12	15	681	0	0
GGT6	0	0	0	0	0	0	0	0
