#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
WASHC1	0	0	0	0	0	0	0	0
FOXD4	0	0	0	0	0	0	0	0
CBWD1	0	7	0	3	1	72	0	0
C9orf66	0	35	0	11	0	43	0	0
DOCK8	1	135	0	14	1	191	0	0
KANK1	0	22	0	1	0	33	0	0
DMRT1	0	78	0	0	0	33	0	0
DMRT3	1	57	0	8	0	41	0	0
DMRT2	0	26	0	0	0	6	0	0
SMARCA2	0	1495	0	2	0	73	0	0
VLDLR	0	26	0	2	0	23	0	0
KCNV2	0	60	0	9	0	74	0	0
PUM3	0	14	0	5	0	45	0	0
RFX3	0	63	0	4	0	19	0	0
GLIS3	0	101	0	5	0	142	0	0
SLC1A1	0	51	0	1	0	43	0	0
SPATA6L	0	42	0	1	1	39	0	0
PLPP6	0	0	0	0	0	0	0	0
CDC37L1	0	13	0	0	1	43	0	0
AK3	0	2	0	1	0	30	0	0
RCL1	0	16	0	2	0	38	0	0
JAK2	0	84	0	2	0	80	0	0
INSL6	0	35	0	9	0	17	0	0
INSL4	0	8	0	7	0	0	0	0
RLN2	0	19	0	4	0	5	0	0
RLN1	1	15	0	11	0	2	0	0
PLGRKT	0	8	0	0	0	23	0	0
CD274	0	12	0	0	0	6	0	0
PDCD1LG2	0	11	0	7	0	14	0	0
RIC1	0	58	0	0	0	78	0	0
ERMP1	0	15	0	0	0	16	0	0
KIAA2026	0	111	0	2	3	194	0	0
MLANA	0	5	0	0	0	3	0	0
RANBP6	0	39	0	4	0	116	0	0
IL33	0	10	0	2	0	22	0	0
TPD52L3	0	31	0	1	0	4	0	0
UHRF2	0	30	0	0	0	45	0	0
GLDC	0	75	0	12	0	140	0	0
KDM4C	0	80	0	2	1	53	0	0
DMAC1	0	5	0	5	0	6	0	0
PTPRD	0	109	0	1	0	102	0	0
TYRP1	0	13	0	6	1	32	0	0
LURAP1L	0	164	0	0	0	44	0	0
MPDZ	0	29	0	8	0	125	0	0
NFIB	0	20	0	2	0	14	0	0
ZDHHC21	0	27	0	0	0	34	0	0
CER1	0	11	0	1	0	13	0	0
FREM1	1	84	0	7	0	110	0	0
TTC39B	0	35	0	4	0	50	0	0
SNAPC3	0	20	0	4	0	23	0	0
PSIP1	0	11	0	0	0	21	0	0
CCDC171	0	81	1	28	0	125	0	0
C9orf92	0	8	0	1	0	9	0	0
BNC2	0	34	0	0	0	26	0	0
CNTLN	0	74	0	19	0	136	0	0
SH3GL2	0	41	0	2	0	28	0	0
ADAMTSL1	0	122	0	5	2	201	0	0
SAXO1	0	43	0	3	0	33	0	0
RRAGA	0	0	0	0	0	0	0	0
HAUS6	1	24	0	4	0	42	0	0
PLIN2	0	23	0	1	0	39	0	0
DENND4C	0	29	0	2	0	86	0	0
RPS6	0	13	0	0	0	22	0	0
ACER2	0	15	0	1	0	20	0	0
